Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData
TSPbasedMobility;20;4;14.54510;10;1000000;1000;113;4;857260;851330
TSPbasedMobility;20;4;13.38533;10;1000000;1000;92;4;869515;863870
TSPbasedMobility;20;4;13.51975;10;1000000;1000;103;4;871280;786130
TSPbasedMobility;20;4;11.33547;10;1000000;1000;186;4;890930;834875
TSPbasedMobility;20;4;12.36825;10;1000000;1000;65;4;882610;808325
TSPbasedMobility;20;4;10.55530;10;1000000;1000;16;4;896045;891140
TSPbasedMobility;20;4;12.15100;10;1000000;1000;95;4;880855;875655
TSPbasedMobility;20;4;12.17782;10;1000000;1000;55;4;881135;875710
TSPbasedMobility;20;4;14.28348;10;1000000;1000;25;4;860995;854120
TSPbasedMobility;20;4;12.41050;10;1000000;1000;129;4;882075;812535
TSPbasedMobility;20;4;13.00880;10;1000000;1000;399;4;872965;867960
TSPbasedMobility;20;4;12.49898;10;1000000;1000;148;4;881525;811545
TSPbasedMobility;20;4;13.01263;10;1000000;1000;144;4;872750;866695
TSPbasedMobility;20;4;12.91290;10;1000000;1000;68;4;877830;799630
TSPbasedMobility;20;4;14.09345;10;1000000;1000;170;4;863235;857070
TSPbasedMobility;20;4;11.88870;10;1000000;1000;82;4;884540;878140
TSPbasedMobility;20;4;12.99468;10;1000000;1000;398;4;872935;867550
TSPbasedMobility;20;4;13.24743;10;1000000;1000;52;4;870565;864910
TSPbasedMobility;20;4;12.93315;10;1000000;1000;76;4;874095;868035
TSPbasedMobility;20;4;12.86815;10;1000000;1000;66;4;874045;868410
TSPbasedMobility;20;4;13.10362;10;1000000;1000;17;4;871835;865240
TSPbasedMobility;20;4;16.61895;10;1000000;1000;48;4;855995;755935
TSPbasedMobility;20;4;14.90110;10;1000000;1000;28;4;853680;847460
TSPbasedMobility;20;4;12.06470;10;1000000;1000;404;4;881785;876415
TSPbasedMobility;20;4;12.37815;10;1000000;1000;54;4;879660;873795
TSPbasedMobility;20;4;13.77160;10;1000000;1000;18;4;865325;859715
TSPbasedMobility;20;4;13.41350;10;1000000;1000;96;4;868210;862040
TSPbasedMobility;20;4;13.57855;10;1000000;1000;146;4;875990;828095
TSPbasedMobility;20;4;13.61700;10;1000000;1000;26;4;867370;861020
TSPbasedMobility;20;4;12.83855;10;1000000;1000;149;4;874555;868525
TSPbasedMobility;20;4;14.65995;10;1000000;1000;34;4;856550;850515
TSPbasedMobility;20;4;14.12452;10;1000000;1000;60;4;860825;854430
TSPbasedMobility;20;4;14.08925;10;1000000;1000;71;4;862130;856400
TSPbasedMobility;20;4;13.15692;10;1000000;1000;87;4;871150;865925
TSPbasedMobility;20;4;13.12313;10;1000000;1000;20;4;874055;816680
TSPbasedMobility;20;4;13.61248;10;1000000;1000;447;4;869020;827695
TSPbasedMobility;20;4;15.18878;10;1000000;1000;24;4;856795;766420
TSPbasedMobility;20;4;13.41520;10;1000000;1000;137;4;869410;862945
TSPbasedMobility;20;4;12.06615;10;1000000;1000;210;4;883360;834155
