Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;20;4;5.45650;10;3750000;3000;49;4;3673455;3441970;254
KingstonImprovedOverNSNMobility;20;8;17.43336;10;3750000;3000;63;4;3496000;2769230;168
KingstonImprovedOverNSNMobility;20;16;23.71654;10;3750000;3000;92;4;3406345;2481740;808
KingstonImprovedOverNSNMobility;20;2;4.04325;10;3750000;3000;42;4;3682915;3484610;416
KingstonImprovedOverNSNMobility;20;4;6.58584;10;3750000;3000;51;4;3654295;3373655;308
KingstonImprovedOverNSNMobility;20;8;15.13865;10;3750000;3000;64;4;3545710;2930745;397
KingstonImprovedOverNSNMobility;20;16;28.13296;10;3750000;3000;89;4;3380475;2185245;424
KingstonImprovedOverNSNMobility;20;2;3.19649;10;3750000;3000;44;4;3695345;3524225;633
KingstonImprovedOverNSNMobility;20;4;8.56766;10;3750000;3000;50;4;3631395;3108025;1092
KingstonImprovedOverNSNMobility;20;8;15.76765;10;3750000;3000;61;4;3530915;2878825;276
KingstonImprovedOverNSNMobility;20;16;27.66364;10;3750000;3000;87;4;3374725;2154895;311
KingstonImprovedOverNSNMobility;20;2;2.85977;10;3750000;3000;44;4;3702250;3559745;687
KingstonImprovedOverNSNMobility;20;4;8.65503;10;3750000;3000;50;4;3681010;3156670;740
KingstonImprovedOverNSNMobility;20;8;17.75368;10;3750000;3000;61;4;3509600;2819175;724
KingstonImprovedOverNSNMobility;20;16;29.56451;10;3750000;3000;91;4;3273570;2048560;358
KingstonImprovedOverNSNMobility;20;2;2.93641;10;3750000;3000;45;4;3706815;3574505;421
KingstonImprovedOverNSNMobility;20;4;6.94548;10;3750000;3000;52;4;3668670;3289335;577
KingstonImprovedOverNSNMobility;20;8;12.18415;10;3750000;3000;59;4;3562765;3076290;146
KingstonImprovedOverNSNMobility;20;16;24.84793;10;3750000;3000;86;4;3439430;1995445;185
KingstonImprovedOverNSNMobility;20;2;3.23125;10;3750000;3000;44;4;3697525;3538475;858
KingstonImprovedOverNSNMobility;20;4;7.88961;10;3750000;3000;54;4;3629305;3297155;331
KingstonImprovedOverNSNMobility;20;8;13.76979;10;3750000;3000;60;4;3548730;2945570;71
KingstonImprovedOverNSNMobility;20;16;21.25031;10;3750000;3000;86;4;3448250;2627085;419
KingstonImprovedOverNSNMobility;20;2;3.76305;10;3750000;3000;45;4;3749725;3487900;276
KingstonImprovedOverNSNMobility;20;4;6.51295;10;3750000;3000;50;4;3657880;3311350;368
KingstonImprovedOverNSNMobility;20;8;13.83200;10;3750000;3000;61;4;3557375;3002920;682
KingstonImprovedOverNSNMobility;20;16;27.53457;10;3750000;3000;88;4;3329020;2152005;337
KingstonImprovedOverNSNMobility;20;2;3.13589;10;3750000;3000;45;4;3703950;3563930;492
KingstonImprovedOverNSNMobility;20;4;8.29111;10;3750000;3000;50;4;3631625;3241695;92
KingstonImprovedOverNSNMobility;20;8;12.43968;10;3750000;3000;58;4;3585305;3093945;369
KingstonImprovedOverNSNMobility;20;16;33.98150;10;3750000;3000;98;4;3253220;1849155;390
KingstonImprovedOverNSNMobility;20;2;3.97937;10;3750000;3000;46;4;3687835;3509695;400
KingstonImprovedOverNSNMobility;20;4;6.32379;10;3750000;3000;53;4;3688735;3307225;257
KingstonImprovedOverNSNMobility;20;8;18.63856;10;3750000;3000;64;4;3498505;2748585;122
KingstonImprovedOverNSNMobility;20;16;30.54193;10;3750000;3000;93;4;3335910;2047430;830
KingstonImprovedOverNSNMobility;20;2;3.88444;10;3750000;3000;42;4;3683780;3484215;507
KingstonImprovedOverNSNMobility;20;4;7.79121;10;3750000;3000;50;4;3638215;3298765;211
KingstonImprovedOverNSNMobility;20;8;12.30486;10;3750000;3000;62;4;3580955;3098485;346
KingstonImprovedOverNSNMobility;20;16;29.39183;10;3750000;3000;93;4;3349890;1704460;292
KingstonImprovedOverNSNMobility;20;2;3.44025;10;3750000;3000;46;4;3702710;3553640;383
KingstonImprovedOverNSNMobility;20;4;6.45124;10;3750000;3000;47;4;3655755;3370360;494
KingstonImprovedOverNSNMobility;20;8;17.39038;10;3750000;3000;61;4;3500475;2796775;274
KingstonImprovedOverNSNMobility;20;16;22.36952;10;3750000;3000;89;4;3449470;2536405;456
KingstonImprovedOverNSNMobility;20;2;4.15839;10;3750000;3000;72;4;3685280;3484275;122
KingstonImprovedOverNSNMobility;20;4;8.22083;10;3750000;3000;84;4;3640140;3321935;299
KingstonImprovedOverNSNMobility;20;2;2.84177;10;3750000;3000;81;4;3749870;3558180;592
KingstonImprovedOverNSNMobility;20;2;3.38606;10;3750000;3000;81;4;3697245;3541585;302
KingstonImprovedOverNSNMobility;20;4;5.82245;10;3750000;3000;86;4;3670840;3443520;128
KingstonImprovedOverNSNMobility;20;4;5.84604;10;3750000;3000;89;4;3675225;3420460;271
KingstonImprovedOverNSNMobility;20;16;24.76034;10;3750000;3000;128;4;3420135;2358735;583
KingstonImprovedOverNSNMobility;20;16;26.41201;10;3750000;3000;118;4;3380160;2202100;606
KingstonImprovedOverNSNMobility;20;16;36.24476;10;3750000;3000;123;4;3234485;1779865;609
KingstonImprovedOverNSNMobility;20;2;3.50204;10;3750000;3000;39;4;3703575;3438125;280
KingstonImprovedOverNSNMobility;20;4;6.61281;10;3750000;3000;43;4;3665525;3413275;64
KingstonImprovedOverNSNMobility;20;8;12.06895;10;3750000;3000;55;4;3578485;3110905;240
KingstonImprovedOverNSNMobility;20;16;34.84107;10;3750000;3000;84;4;3211635;1705925;227
KingstonImprovedOverNSNMobility;20;4;7.90899;10;3750000;3000;42;4;3647185;3128965;362
KingstonImprovedOverNSNMobility;20;2;4.19720;10;3750000;3000;39;4;3681225;3471065;119
KingstonImprovedOverNSNMobility;20;4;6.33419;10;3750000;3000;44;4;3671460;3423055;179
KingstonImprovedOverNSNMobility;20;8;14.45802;10;3750000;3000;56;4;3552290;2880735;74
KingstonImprovedOverNSNMobility;20;16;33.57575;10;3750000;3000;81;4;3255640;1894635;510
KingstonImprovedOverNSNMobility;20;8;13.58883;10;3750000;3000;54;4;3554150;3035690;770
KingstonImprovedOverNSNMobility;20;2;2.92819;10;3750000;3000;38;4;3712950;3598455;553
KingstonImprovedOverNSNMobility;20;4;8.43285;10;3750000;3000;43;4;3641700;3278300;152
KingstonImprovedOverNSNMobility;20;8;10.02055;10;3750000;3000;56;4;3610450;3192420;127
KingstonImprovedOverNSNMobility;20;16;24.72523;10;3750000;3000;77;4;3358140;2448120;749
KingstonImprovedOverNSNMobility;20;16;28.18059;10;3750000;3000;79;4;3364815;2156385;179
KingstonImprovedOverNSNMobility;20;2;3.97725;10;3750000;3000;38;4;3694725;3520480;175
KingstonImprovedOverNSNMobility;20;4;6.40144;10;3750000;3000;46;4;3656120;3394095;330
KingstonImprovedOverNSNMobility;20;8;13.04635;10;3750000;3000;54;4;3581760;3044705;346
KingstonImprovedOverNSNMobility;20;16;25.45667;10;3750000;3000;77;4;3364565;2365020;757
KingstonImprovedOverNSNMobility;20;2;3.09233;10;3750000;3000;35;4;3709030;3584810;344
KingstonImprovedOverNSNMobility;20;2;3.80837;10;3750000;3000;38;4;3690345;3503190;1131
KingstonImprovedOverNSNMobility;20;4;6.18987;10;3750000;3000;45;4;3662750;3337030;199
KingstonImprovedOverNSNMobility;20;8;12.67635;10;3750000;3000;56;4;3578845;3065345;354
KingstonImprovedOverNSNMobility;20;16;32.93857;10;3750000;3000;79;4;3273505;1986375;503
KingstonImprovedOverNSNMobility;20;4;6.66265;10;3750000;3000;41;4;3665065;3419965;306
KingstonImprovedOverNSNMobility;20;2;3.84555;10;3750000;3000;39;4;3689470;3510370;695
KingstonImprovedOverNSNMobility;20;4;6.49114;10;3750000;3000;45;4;3676115;3346305;469
KingstonImprovedOverNSNMobility;20;8;14.17343;10;3750000;3000;57;4;3537100;2964410;534
KingstonImprovedOverNSNMobility;20;16;27.81265;10;3750000;3000;76;4;3352830;2251860;601
KingstonImprovedOverNSNMobility;20;8;12.87169;10;3750000;3000;52;4;3583650;3050635;222
KingstonImprovedOverNSNMobility;20;2;5.19833;10;3750000;3000;38;4;3749595;3357685;59
KingstonImprovedOverNSNMobility;20;4;8.71819;10;3750000;3000;44;4;3620825;3230575;493
KingstonImprovedOverNSNMobility;20;8;13.56441;10;3750000;3000;55;4;3573735;3001150;358
KingstonImprovedOverNSNMobility;20;16;25.62000;10;3750000;3000;75;4;3402030;2361185;323
KingstonImprovedOverNSNMobility;20;16;33.18487;10;3750000;3000;75;4;3322740;1485300;232
KingstonImprovedOverNSNMobility;20;2;3.83397;10;3750000;3000;38;4;3687520;3495330;476
KingstonImprovedOverNSNMobility;20;4;6.87307;10;3750000;3000;42;4;3665120;3399365;413
KingstonImprovedOverNSNMobility;20;8;13.89685;10;3750000;3000;55;4;3564460;3020585;517
KingstonImprovedOverNSNMobility;20;16;28.42783;10;3750000;3000;77;4;3247045;2201810;946
KingstonImprovedOverNSNMobility;20;2;4.34228;10;3750000;3000;34;4;3749690;3462055;855
KingstonImprovedOverNSNMobility;20;2;3.02161;10;3750000;3000;38;4;3707715;3578465;514
KingstonImprovedOverNSNMobility;20;4;5.87385;10;3750000;3000;43;4;3662425;3385115;153
KingstonImprovedOverNSNMobility;20;8;12.73305;10;3750000;3000;55;4;3572815;3068100;155
KingstonImprovedOverNSNMobility;20;16;31.28579;10;3750000;3000;77;4;3283245;2045685;474
KingstonImprovedOverNSNMobility;20;4;7.40326;10;3750000;3000;41;4;3679605;3243620;381
KingstonImprovedOverNSNMobility;20;2;3.07426;10;3750000;3000;38;4;3703165;3459730;458
KingstonImprovedOverNSNMobility;20;4;7.06819;10;3750000;3000;47;4;3650225;3337860;303
KingstonImprovedOverNSNMobility;20;2;3.63607;10;3750000;3000;72;4;3688055;3499755;412
KingstonImprovedOverNSNMobility;20;16;26.62301;10;3750000;3000;118;4;3429910;2049785;823
KingstonImprovedOverNSNMobility;20;4;6.98168;10;3750000;3000;82;4;3680870;3292035;287
KingstonImprovedOverNSNMobility;20;16;29.35591;10;3750000;3000;116;4;3363700;2180715;854
TSPbasedMobility;20;2;3.60121;10;3750000;3000;124;4;3618655;3612590;736
KingstonImprovedOverNSNMobility;20;2;4.26524;10;3750000;3000;38;4;3680205;3469915;103
KingstonImprovedOverNSNMobility;20;4;8.09677;10;3750000;3000;45;4;3629520;3257930;299
