Strategy;mapName;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize
DADCA-NSN;57;500;4;0.0;71;2;13000;126;146;4;2;2;-1;0;0;263096;0.0;0.0
DADCA-NSN;58;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;75600;0.0;0.0
DADCA-NSN;58;500;4;0.0;71;2;13000;468;144;4;2;2;-1;0;0;261003;0.0;0.0
DADCA-NSN;59;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;83347;0.0;0.0
DADCA-NSN;59;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;268572;0.0;0.0
DADCA-NSN;60;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;79122;0.0;0.0
DADCA-NSN;60;500;4;0.0;71;2;13000;140;143;4;2;2;-1;0;0;249083;0.0;0.0
DADCA-NSN;61;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;76734;0.0;0.0
DADCA-NSN;61;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;250175;0.0;0.0
DADCA-NSN;62;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;77848;0.0;0.0
DADCA-NSN;62;500;4;0.0;71;2;13000;141;143;4;2;2;-1;0;0;268594;0.0;0.0
DADCA-NSN;63;50;4;0.0;71;2;13000;24;52;4;2;2;-1;0;0;71389;0.0;0.0
DADCA-NSN;63;500;4;0.0;71;2;13000;140;143;4;2;2;-1;0;0;259641;0.0;0.0
DADCA-NSN;64;50;4;0.0;71;2;13000;43;82;4;2;2;-1;0;0;78853;0.0;0.0
DADCA-NSN;64;500;4;0.0;71;2;13000;141;144;4;2;2;-1;0;0;257563;0.0;0.0
DADCA-NSN;65;50;4;0.0;71;2;13000;36;53;4;2;2;-1;0;0;89662;0.0;0.0
DADCA-NSN;65;500;4;0.0;71;2;13000;140;143;4;2;2;-1;0;0;271009;0.0;0.0
DADCA-NSN;66;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;72915;0.0;0.0
DADCA-NSN;66;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;258681;0.0;0.0
DADCA-NSN;67;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;71369;0.0;0.0
DADCA-NSN;67;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;259571;0.0;0.0
DADCA-NSN;68;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;80260;0.0;0.0
DADCA-NSN;68;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;254655;0.0;0.0
DADCA-NSN;69;50;4;0.0;71;2;13000;32;50;4;2;2;-1;0;0;86875;0.0;0.0
DADCA-NSN;69;500;4;0.0;71;2;13000;140;144;4;2;2;-1;0;0;257477;0.0;0.0
DADCA-NSN;70;50;4;0.0;71;2;13000;15;65;4;2;2;-1;0;0;79136;0.0;0.0
DADCA-NSN;70;500;4;0.0;71;2;13000;140;144;4;2;2;-1;0;0;258849;0.0;0.0
DADCA-NSN;71;50;4;0.0;71;2;13000;53;50;4;2;2;-1;0;0;92198;0.0;0.0
DADCA-NSN;71;500;4;0.0;71;2;13000;140;144;4;2;2;-1;0;0;259403;0.0;0.0
DADCA-NSN;72;50;4;0.0;71;2;13000;15;65;4;2;2;-1;0;0;90365;0.0;0.0
DADCA-NSN;73;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;78794;0.0;0.0
DADCA-NSN;73;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;253843;0.0;0.0
DADCA-NSN;74;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;75579;0.0;0.0
DADCA-NSN;74;500;4;0.0;71;2;13000;142;165;4;2;2;-1;0;0;261778;0.0;0.0
DADCA-NSN;75;50;4;0.0;71;2;13000;17;50;4;2;2;-1;0;0;89382;0.0;0.0
DADCA-NSN;75;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;254414;0.0;0.0
DADCA-NSN;76;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;82871;0.0;0.0
DADCA-NSN;76;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;241576;0.0;0.0
DADCA-NSN;77;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;81909;0.0;0.0
