Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
DADCA-lkh;20;4;11.17814;71;259200;13000;3603;46;4;245715;221350;2771;305;107578;50659;4.312555667485902;22.06546574177038;7
DADCA-parted-nsn;20;4;9.72405;71;259200;13000;3416;0;4;246985;224335;1542;305;94171;56345;3.751564345659962;17.25806155639475;7
DADCA-NSN;20;4;9.91551;71;259200;13000;3635;0;4;246490;225320;2287;181;96028;57453;3.825427954961134;17.258470853148243;7
FPPWR;20;4;4.92805;71;259200;13000;3515;15;4;247085;245660;3265;626;47334;97363;1.90125302450084;5.0615201252079105;7
TSPConcorde;20;8;20.50627;71;259200;13000;4870;172;4;208545;203430;1374;195;198461;50659;7.911369324893309;40.479025030346946;7
DADCA-lkh-cutted;20;8;21.24653;71;259200;13000;4758;47;4;231450;184155;1370;195;205899;51343;8.196962877229081;41.38154719782206;7
DADCA-lkh;20;8;22.07726;71;259200;13000;4977;47;4;232050;185725;2772;305;211745;50659;8.51746024091221;43.58012780442656;7
DADCA-parted-nsn;20;8;19.16204;71;259200;13000;4711;0;4;235560;189540;1550;305;185341;56345;7.392761202560585;34.0084072003497;7
DADCA-NSN;20;8;19.31182;71;259200;13000;5196;0;4;233490;192075;1697;181;185433;57453;7.450549708981102;33.61325752472285;7
FPPWR;20;8;9.64390;71;259200;13000;4885;16;4;235410;232785;3276;626;92439;97363;3.7206420991464704;9.90510185695557;7
TSPConcorde;20;12;30.51861;71;259200;13000;6256;171;4;183070;176795;1373;195;295604;50659;11.774157009697456;60.24322424275214;7
DADCA-lkh-cutted;20;12;31.80498;71;259200;13000;6271;47;4;218045;146070;1369;305;309379;51343;12.270438600251486;61.94608194272219;7
DADCA-lkh;20;12;33.07996;71;259200;13000;6179;47;4;218115;148055;2772;305;319288;50659;12.762329306222373;65.29927073516728;7
