Strategy;nUAV;nPOIs;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
FPPWR;4;16;4.919885000000001;0.00045000000000000004;4812.0;86950.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;4;32;2.504765;0.0005;8125.5;153274.0;650160.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;4;48;1.5945900000000002;0.00055;11396.5;214238.5;650136.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;4;50;1.52087;0.00055;11714.0;222345.5;650136.0;0.0;0.0;0.0;0.0;0.0;99.5
FPPWR;4;80;0.89019;0.0006333333333333334;16309.5;310904.0;650136.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;4;250;0.3678;0.0008333333333333334;27056.0;504970.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;4;320;0.32904999999999995;0.0008500000000000001;28805.5;532385.5;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;4;500;0.29068;0.0009666666666666667;31609.0;568104.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;8;16;9.639575;0.00048333333333333334;4819.5;86950.0;650224.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;8;32;4.792025;0.0007166666666666667;8137.5;153274.0;650200.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;8;48;2.96624;0.0007833333333333334;11381.0;214238.5;650176.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;8;50;2.819345;0.0008;11717.5;222345.5;650176.0;0.0;0.0;0.0;0.0;0.0;99.5
FPPWR;8;80;1.56215;0.0009166666666666668;16308.0;310904.0;650200.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;8;250;0.6133649999999999;0.0012166666666666667;27087.0;504970.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;8;320;0.5468550000000001;0.0011833333333333333;28783.5;532385.5;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;8;500;0.47548500000000005;0.0014;31622.5;568104.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;16;16;19.084985000000003;0.00048333333333333334;4814.5;86950.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;16;32;9.39227;0.000675;8140.5;153274.0;650280.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;16;48;5.711925;0.0007333333333333333;11396.0;214238.5;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;16;50;5.43704;0.0007416666666666667;11701.5;222345.5;650112.0;0.0;0.0;0.0;0.0;0.0;99.5
FPPWR;16;80;2.92694;0.0008833333333333334;16310.0;310904.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;16;250;1.10472;0.0011;27093.0;504970.0;0.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;16;320;0.98462;0.0009166666666666668;28788.5;532385.5;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;16;500;0.845145;0.0011166666666666666;31620.5;568104.0;650128.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;16;4.457644999999999;0.00095;2558.5;49763.0;6501752.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;32;3.3447899999999997;0.0009666666666666667;3367.0;64136.0;6502136.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;48;2.77223;0.001;3993.5;75462.0;7152024.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;50;2.71931;0.0006083333333333333;4061.0;76625.0;650272.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;80;2.1429549999999997;0.001;5084.5;93676.0;7152264.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;160;1.4637;0.0010333333333333334;7177.0;127346.0;7802300.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;250;1.116655;0.0006666666666666668;9159.5;156687.0;650248.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;320;0.9523599999999999;0.001375;10482.0;175932.0;-14757832.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;2;500;0.703095;0.0008500000000000001;13521.0;217840.5;975384.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;4;16;8.71395;0.00135;2562.0;49763.0;7810424.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;4;32;6.482990000000001;0.0017083333333333334;3369.0;64136.0;8460888.0;0.0;0.0;0.0;0.0;0.0;100.5
TSP-based;4;48;5.33249;0.0022583333333333335;3993.5;75462.0;9102884.0;0.0;0.0;0.0;0.0;0.0;100.5
