;Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
2612;DADCA-NSN;24;500;4;0.98944;0.00185;26190;259.005;2600600;49;107;204227;51056;1021120.0
2613;TSP-based;142;500;4;1.21823;0.55495;13382;217.308;12157680;0;0;0;0;0.0
2614;DADCA-Parted-NSN;24;500;4;0.92917;0.0006500000000000001;14810;270.69;325056;30;130;88597;22149;442980.0
2615;DADCA-LKH-Cut;6;500;4;1.19203;0.0005333333333333334;13006;219.918;1300408;60;161;150387;37596;751920.0
2616;FPPWR;25;500;4;0.29427;0.0012166666666666667;30376;563.408;650112;0;0;0;0;0.0
2617;TSP-based;143;500;4;1.2593299999999998;0.08338333333333334;13029;212.129;12596392;0;0;0;0;0.0
2618;DADCA-NSN;25;500;4;0.94635;0.0018333333333333335;27611;266.926;2600600;47;101;190821;47705;954100.0
2619;DADCA-LKH;7;500;4;1.25326;0.19036666666666668;22428;212.376;10185320;70;127;317305;79326;1586520.0
2620;DADCA-Parted-NSN;25;500;4;0.9181600000000001;0.0006666666666666668;13957;270.76300000000003;325056;28;139;72969;18242;364840.0
2621;TSP-based;144;500;4;1.22349;0.21096666666666666;13734;217.92600000000002;12784976;0;0;0;0;0.0
2622;FPPWR;26;500;4;0.28916;0.0010500000000000002;31768;567.991;650136;0;0;0;0;0.0
2623;DADCA-LKH-Cut;7;500;4;1.23794;0.0007333333333333333;17442;213.514;1300384;78;181;219086;54771;1095420.0
2624;DADCA-NSN;26;500;4;0.96631;0.0019166666666666668;27210;263.311;2600544;49;103;204456;51114;1022280.0
2625;TSP-based;145;500;4;1.22401;0.13471666666666668;13483;216.912;12634232;0;0;0;0;0.0
2626;DADCA-Parted-NSN;26;500;4;0.8614299999999999;0.0006500000000000001;15884;281.992;325056;30;130;84743;21185;423700.0
2627;DADCA-LKH;8;500;4;1.2170100000000001;0.10543333333333334;23614;217.497;10609064;90;170;290182;72545;1450900.0
2628;FPPWR;27;500;4;0.28351;0.001;31955;578.616;650112;0;0;0;0;0.0
2629;TSP-based;146;500;4;1.25853;0.5160166666666667;13191;212.416;12707264;0;0;0;0;0.0
2630;DADCA-NSN;27;500;4;0.9918399999999999;0.0018333333333333335;26179;257.443;2600600;53;120;207962;51990;1039800.0
