Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
ZigZagOverNSNMobility;20;4;8,19767;10;3750000;3000;48;4;3591250;3384085;113
ZigZagOverNSNMobility;20;4;8,62333;10;3750000;3000;47;4;3581735;3357260;440
ZigZagOverNSNMobility;20;4;7,47167;10;3750000;3000;49;4;3606655;3414950;495
ZigZagOverNSNMobility;20;8;12,70936;10;3750000;3000;57;4;3502115;3182080;147
ZigZagOverNSNMobility;20;8;14,42733;10;3750000;3000;58;4;3474765;2976165;297
ZigZagOverNSNMobility;20;8;17,47928;10;3750000;3000;59;4;3409010;2945435;225
ZigZagOverNSNMobility;20;16;28,14266;10;3750000;3000;77;4;3233220;2045610;135
ZigZagOverNSNMobility;20;16;28,26804;10;3750000;3000;77;4;3190520;2549325;591
ZigZagOverNSNMobility;20;16;26,69521;10;3750000;3000;79;4;3184525;2594515;202
TSPbasedMobility;20;2;3,71262;10;3750000;3000;77;4;3613680;3607140;973
TSPbasedMobility;20;4;6,85673;10;3750000;3000;137;4;3499270;3487870;520
TSPbasedMobility;20;8;12,75206;10;3750000;3000;74;4;3281545;3262415;816
TSPbasedMobility;20;16;26,07478;10;3750000;3000;109;4;2794335;2757715;723
TSPbasedMobility;20;2;3,47015;10;3750000;3000;67;4;3622760;3617350;170
TSPbasedMobility;20;4;6,36959;10;3750000;3000;116;4;3515740;3506145;878
TSPbasedMobility;20;8;11,95089;10;3750000;3000;81;4;3312540;3293875;417
TSPbasedMobility;20;16;27,78559;10;3750000;3000;303;4;2728605;2687320;459
TSPbasedMobility;20;2;2,97069;10;3750000;3000;420;4;3640890;3635730;1266
TSPbasedMobility;20;4;8,70195;10;3750000;3000;108;4;3429580;3415680;967
TSPbasedMobility;20;8;12,96979;10;3750000;3000;73;4;3282415;3037955;1475
TSPbasedMobility;20;16;25,69206;10;3750000;3000;77;4;2807155;2768235;1009
TSPbasedMobility;20;2;3,08757;10;3750000;3000;85;4;3636380;3631340;711
