Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
DADCA-LKH;12;48;4.0;5.5052;0.0015333333333333334;6101.0;72.771;9102448.0;346.0;399.0;198627.0;49656.0;993120.0
DADCA-LKH;12;50;4.0;5.4195199999999994;0.00075;6139.0;73.519;1300224.0;339.0;392.0;199070.0;49767.0;995340.0
DADCA-LKH;12;80;4.0;4.1523900000000005;0.0021666666666666666;7420.0;91.73100000000001;9102688.0;262.0;315.0;213285.0;53321.0;1066420.0
DADCA-LKH;12;160;4.0;2.69687;0.0146;11093.0;128.04500000000002;-11590104.0;163.0;223.0;271128.0;67782.0;1355640.0
DADCA-LKH;12;250;4.0;1.9888099999999997;0.06888333333333334;14469.0;159.411;-13470864.0;119.0;173.0;290106.0;72526.0;1450520.0
DADCA-LKH;12;320;4.0;1.7059099999999998;0.05846666666666667;16503.0;176.109;3493128.0;109.0;166.0;311922.0;77980.0;1559600.0
DADCA-LKH;12;500;4.0;1.2273399999999999;0.19343333333333335;20632.0;216.209;9999248.0;82.0;152.0;302788.0;75697.0;1513940.0
DADCA-LKH;13;16;4.0;9.915239999999999;0.0009166666666666668;3506.0;43.665;7803800.0;627.0;682.0;122906.0;30726.0;614520.0
DADCA-LKH;13;32;4.0;6.79513;0.0016333333333333334;4683.0;60.749;8452840.0;435.0;488.0;151708.0;37927.0;758540.0
DADCA-LKH;13;48;4.0;5.7550099999999995;0.00135;5714.0;69.958;9118848.0;364.0;417.0;195928.0;48982.0;979640.0
DADCA-LKH;13;50;4.0;5.44201;0.0006500000000000001;6068.0;73.334;1308432.0;350.0;406.0;188510.0;47127.0;942540.0
DADCA-LKH;13;80;4.0;4.38641;0.0018833333333333334;7231.0;87.283;9752792.0;273.0;327.0;244340.0;61085.0;1221700.0
DADCA-LKH;13;160;4.0;2.8230299999999997;0.1034;10473.0;123.096;-11846472.0;169.0;222.0;280678.0;70169.0;1403380.0
DADCA-LKH;13;250;4.0;2.0495400000000004;0.03221666666666667;14398.0;155.329;-12845304.0;125.0;184.0;309772.0;77443.0;1548860.0
DADCA-LKH;13;320;4.0;1.7420400000000003;0.07661666666666667;16539.0;173.291;3604448.0;115.0;170.0;296199.0;74049.0;1480980.0
DADCA-LKH;13;500;4.0;1.2152399999999999;0.4926666666666667;23456.0;217.77100000000002;10133128.0;69.0;122.0;315399.0;78849.0;1576980.0
DADCA-LKH;14;16;4.0;9.333039999999999;0.0010166666666666668;3808.0;45.7;7803944.0;606.0;665.0;124550.0;31137.0;622740.0
DADCA-LKH;14;32;4.0;6.06078;0.0017833333333333334;5402.0;67.83;8453904.0;391.0;446.0;145956.0;36489.0;729780.0
DADCA-LKH;14;48;4.0;5.53253;0.0013333333333333335;5510.0;72.21900000000001;9120120.0;367.0;427.0;177363.0;44340.0;886800.0
DADCA-LKH;14;50;4.0;5.50089;0.0005666666666666667;5756.0;72.718;650112.0;357.0;411.0;183621.0;45905.0;918100.0
DADCA-LKH;14;80;4.0;4.28412;0.0024333333333333334;7237.0;89.202;9752624.0;275.0;332.0;225054.0;56263.0;1125260.0
DADCA-LKH;14;160;4.0;2.73322;0.01645;10547.0;126.429;-11265904.0;195.0;254.0;276631.0;69157.0;1383140.0
DADCA-LKH;14;250;4.0;2.03472;0.019816666666666666;14243.0;156.028;-12518272.0;121.0;174.0;320457.0;80114.0;1602280.0
DADCA-LKH;14;320;4.0;1.68733;0.05308333333333334;16778.0;177.809;3584608.0;99.0;152.0;320051.0;80012.0;1600240.0
DADCA-LKH;14;500;4.0;1.20116;0.2887166666666667;22189.0;220.19400000000002;10162824.0;73.0;130.0;260870.0;65217.0;1304340.0
DADCA-LKH;15;16;4.0;9.22345;0.0010833333333333333;3294.0;46.265;7802376.0;594.0;647.0;103835.0;25958.0;519160.0
DADCA-LKH;15;32;4.0;6.66781;0.0012000000000000001;4929.0;61.302;8452888.0;423.0;477.0;154032.0;38508.0;770160.0
DADCA-LKH;15;48;4.0;5.83012;0.0016666666666666668;5629.0;68.507;9119376.0;414.0;469.0;192811.0;48202.0;964040.0
DADCA-LKH;15;50;4.0;5.82037;0.00048333333333333334;5098.0;68.694;1300360.0;371.0;424.0;204263.0;51065.0;1021300.0
DADCA-LKH;15;80;4.0;4.13884;0.0044;7609.0;91.903;9102264.0;253.0;310.0;222389.0;55597.0;1111940.0
DADCA-LKH;15;160;4.0;2.6746;0.031083333333333334;11007.0;128.847;-11561256.0;163.0;216.0;261722.0;65430.0;1308600.0
DADCA-LKH;15;250;4.0;1.94816;0.02605;15020.0;162.258;-12831672.0;141.0;198.0;292807.0;73201.0;1464020.0
DADCA-LKH;15;320;4.0;1.67278;0.05761666666666667;17091.0;178.833;3261304.0;99.0;155.0;319037.0;79759.0;1595180.0
DADCA-LKH;15;500;4.0;1.19995;0.2920166666666667;23686.0;220.11;10055984.0;63.0;118.0;282376.0;70594.0;1411880.0
DADCA-LKH;16;16;4.0;9.23527;0.0010666666666666667;3111.0;46.317;7802136.0;597.0;650.0;105373.0;26343.0;526860.0
DADCA-LKH;16;32;4.0;7.264360000000001;0.0013833333333333334;4444.0;57.028;7802776.0;457.0;510.0;168413.0;42103.0;842060.0
DADCA-LKH;16;48;4.0;5.633319999999999;0.0018666666666666666;5825.0;71.277;8468744.0;357.0;410.0;191817.0;47954.0;959080.0
DADCA-LKH;16;50;4.0;5.55887;0.0006166666666666667;6010.0;71.683;1316680.0;361.0;414.0;194430.0;48607.0;972140.0
DADCA-LKH;16;80;4.0;4.13809;0.003416666666666667;7861.0;92.07600000000001;9102640.0;263.0;316.0;233067.0;58266.0;1165320.0
DADCA-LKH;16;160;4.0;2.82872;0.04931666666666667;10395.0;122.37700000000001;-11600168.0;186.0;239.0;294341.0;73585.0;1471700.0
DADCA-LKH;16;250;4.0;2.06396;0.02415;13925.0;154.248;-12900272.0;123.0;176.0;318101.0;79525.0;1590500.0
DADCA-LKH;16;320;4.0;1.74846;0.15236666666666668;16456.0;172.13400000000001;3535216.0;99.0;152.0;321350.0;80337.0;1606740.0
DADCA-LKH;16;500;4.0;1.2475100000000001;0.10573333333333333;22340.0;213.16400000000002;10013824.0;71.0;127.0;319386.0;79846.0;1596920.0
DADCA-LKH;17;16;4.0;8.85356;0.0009666666666666667;4408.0;48.57;7152096.0;562.0;615.0;111288.0;27822.0;556440.0
DADCA-LKH;17;32;4.0;6.67565;0.0011666666666666668;4778.0;61.811;8453560.0;423.0;478.0;150792.0;37698.0;753960.0
DADCA-LKH;17;48;4.0;5.49769;0.00185;5868.0;72.647;9120064.0;356.0;409.0;179192.0;44798.0;895960.0
DADCA-LKH;17;50;4.0;5.32153;0.0006833333333333333;5994.0;74.86;650112.0;337.0;390.0;179862.0;44965.0;899300.0
DADCA-LKH;17;80;4.0;4.09197;0.00595;7448.0;92.982;9756264.0;265.0;318.0;213595.0;53398.0;1067960.0
DADCA-LKH;17;160;4.0;2.75152;0.014483333333333334;10796.0;125.85000000000001;-12501288.0;173.0;227.0;281808.0;70452.0;1409040.0
DADCA-LKH;17;250;4.0;2.0541;0.05173333333333333;13829.0;155.185;-13091248.0;131.0;185.0;306277.0;76569.0;1531380.0
DADCA-LKH;17;320;4.0;1.7570700000000001;0.03913333333333333;16684.0;171.87800000000001;3592016.0;101.0;161.0;309344.0;77336.0;1546720.0
DADCA-LKH;17;500;4.0;1.25532;0.2528666666666667;20498.0;212.415;10194440.0;81.0;148.0;344792.0;86198.0;1723960.0
DADCA-LKH;18;16;4.0;8.41098;0.0025166666666666666;3824.0;50.775;7152784.0;541.0;594.0;96310.0;24077.0;481540.0
DADCA-LKH;18;32;4.0;6.79603;0.0012000000000000001;4911.0;60.721000000000004;8452392.0;431.0;488.0;159344.0;39836.0;796720.0
DADCA-LKH;18;48;4.0;5.67849;0.0025;5990.0;70.81;8460528.0;351.0;408.0;192474.0;48118.0;962360.0
DADCA-LKH;18;50;4.0;5.63291;0.0006500000000000001;5322.0;71.153;1300360.0;357.0;410.0;206179.0;51544.0;1030880.0
DADCA-LKH;18;80;4.0;4.12297;0.0031333333333333335;7633.0;92.197;9756672.0;257.0;311.0;228102.0;57025.0;1140500.0
DADCA-LKH;18;160;4.0;2.7133;0.005066666666666667;11189.0;127.384;-11861592.0;163.0;216.0;283481.0;70870.0;1417400.0
DADCA-LKH;18;250;4.0;2.05058;0.020316666666666667;14169.0;155.161;-12476872.0;125.0;178.0;313411.0;78352.0;1567040.0
DADCA-LKH;18;320;4.0;1.6982700000000002;0.10158333333333334;16090.0;177.101;3569408.0;97.0;159.0;286299.0;71574.0;1431480.0
DADCA-LKH;18;500;4.0;1.22488;0.33505;21986.0;216.53900000000002;10171648.0;72.0;133.0;310741.0;77685.0;1553700.0
DADCA-LKH;19;16;4.0;10.61897;0.0020666666666666667;2941.0;40.511;7152944.0;693.0;747.0;115078.0;28769.0;575380.0
DADCA-LKH;19;32;4.0;7.186780000000001;0.0018333333333333335;4332.0;57.574;8453184.0;457.0;513.0;155340.0;38835.0;776700.0
DADCA-LKH;19;48;4.0;5.37479;0.003916666666666667;5893.0;74.426;8460360.0;345.0;398.0;172336.0;43084.0;861680.0
DADCA-LKH;19;50;4.0;5.33113;0.0006000000000000001;6403.0;74.556;650112.0;346.0;399.0;180470.0;45117.0;902340.0
DADCA-LKH;19;80;4.0;4.10913;0.0020166666666666666;7660.0;92.262;9106048.0;259.0;313.0;225013.0;56253.0;1125060.0
DADCA-LKH;19;160;4.0;2.66467;0.01065;11098.0;129.537;-12532128.0;159.0;212.0;267169.0;66792.0;1335840.0
DADCA-LKH;19;250;4.0;2.0543099999999996;0.13623333333333335;14085.0;154.929;-13157808.0;132.0;197.0;305827.0;76456.0;1529120.0
DADCA-LKH;19;320;4.0;1.73869;0.028183333333333335;15947.0;173.541;3656264.0;98.0;151.0;289761.0;72440.0;1448800.0
DADCA-LKH;19;500;4.0;1.2442600000000001;0.19068333333333334;22238.0;214.234;10134408.0;76.0;131.0;325278.0;81319.0;1626380.0
DADCA-LKH;20;16;4.0;9.91295;0.0008;3537.0;43.197;7802392.0;643.0;696.0;126498.0;31624.0;632480.0
DADCA-LKH;20;32;4.0;6.906110000000001;0.0012166666666666667;4773.0;59.794000000000004;7802920.0;431.0;484.0;164777.0;41194.0;823880.0
DADCA-LKH;20;48;4.0;5.18832;0.0016666666666666668;6128.0;76.96600000000001;8468720.0;341.0;399.0;175319.0;43829.0;876580.0
DADCA-LKH;20;50;4.0;5.1137;0.0007;6047.0;77.83800000000001;1308432.0;325.0;378.0;173853.0;43463.0;869260.0
DADCA-LKH;20;80;4.0;4.15492;0.002;7472.0;91.758;9106160.0;259.0;315.0;219226.0;54806.0;1096120.0
DADCA-LKH;20;160;4.0;2.7785599999999997;0.005350000000000001;10591.0;124.782;-11536120.0;173.0;226.0;283925.0;70981.0;1419620.0
DADCA-LKH;20;250;4.0;2.0545;0.02581666666666667;13922.0;154.958;-13188768.0;127.0;180.0;316274.0;79068.0;1581360.0
DADCA-LKH;20;320;4.0;1.7085599999999999;0.08526666666666667;16694.0;175.92600000000002;3188656.0;97.0;150.0;319584.0;79896.0;1597920.0
DADCA-LKH;20;500;4.0;1.21298;0.11508333333333334;26439.0;218.95000000000002;10043736.0;57.0;119.0;300555.0;75138.0;1502760.0
DADCA-LKH;21;16;4.0;10.48322;0.0013000000000000002;3086.0;40.922000000000004;7152960.0;683.0;736.0;123187.0;30796.0;615920.0
DADCA-LKH;21;32;4.0;6.555689999999999;0.0011666666666666668;4953.0;62.842;8452688.0;411.0;464.0;150427.0;37606.0;752120.0
DADCA-LKH;21;48;4.0;5.60177;0.0020166666666666666;5168.0;71.412;9120136.0;360.0;423.0;173728.0;43432.0;868640.0
DADCA-LKH;21;50;4.0;5.4520800000000005;0.0006833333333333333;6033.0;72.875;1316624.0;366.0;421.0;180660.0;45165.0;903300.0
DADCA-LKH;21;80;4.0;4.14677;0.002116666666666667;7439.0;91.866;9108808.0;261.0;314.0;214212.0;53553.0;1071060.0
DADCA-LKH;21;160;4.0;2.66242;0.0224;11122.0;129.702;-12493032.0;157.0;210.0;259568.0;64892.0;1297840.0
DADCA-LKH;21;250;4.0;2.03683;0.04223333333333334;14099.0;156.14600000000002;-13130496.0;121.0;175.0;301310.0;75327.0;1506540.0
DADCA-LKH;21;320;4.0;1.70633;0.06768333333333333;16586.0;175.757;3616200.0;103.0;156.0;319529.0;79882.0;1597640.0
DADCA-LKH;21;500;4.0;1.19494;0.5478333333333334;23636.0;220.97;10385392.0;59.0;114.0;279423.0;69855.0;1397100.0
