Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
ZigZagOverNSNMobility;20;4;6.48148;10;3750000;3000;38;4;3624615;3458845;240
KingstonImprovedOverNSNMobility;20;4;6.31823;10;3750000;3000;42;4;3669340;3428710;240
TSPbasedMobility;20;4;6.02381;10;3750000;3000;114;4;3527650;3518025;814
ZigZagOverNSNMobility;20;2;3.26143;10;3750000;3000;34;4;3687105;3600540;240
KingstonImprovedOverNSNMobility;20;2;3.28318;10;3750000;3000;35;4;3701270;3576110;240
TSPbasedMobility;20;2;3.06798;10;3750000;3000;108;4;3637200;3632270;1136
ZigZagOverNSNMobility;20;16;25.36156;10;3750000;3000;61;4;3245375;2683100;342
KingstonImprovedOverNSNMobility;20;16;24.23610;10;3750000;3000;76;4;3417110;2394190;342
TSPbasedMobility;20;16;24.93133;10;3750000;3000;750;4;2833210;2796435;342
ZigZagOverNSNMobility;20;8;12.79995;10;3750000;3000;46;4;3499180;3198365;342
KingstonImprovedOverNSNMobility;20;8;12.49973;10;3750000;3000;52;4;3590715;3102980;341
TSPbasedMobility;20;8;10.80246;10;3750000;3000;740;4;3355075;3338565;342
ZigZagOverNSNMobility;20;4;6.46277;10;3750000;3000;39;4;3624380;3457685;342
KingstonImprovedOverNSNMobility;20;4;7.16954;10;3750000;3000;41;4;3688290;3158640;342
TSPbasedMobility;20;4;6.43943;10;3750000;3000;720;4;3515140;3504505;342
ZigZagOverNSNMobility;20;2;3.24671;10;3750000;3000;34;4;3687895;3604410;342
KingstonImprovedOverNSNMobility;20;2;3.28861;10;3750000;3000;34;4;3704965;3568700;342
TSPbasedMobility;20;2;3.21825;10;3750000;3000;685;4;3632635;3627180;342
ZigZagOverNSNMobility;20;16;29.19105;10;3750000;3000;61;4;3193510;2524385;148
KingstonImprovedOverNSNMobility;20;16;29.48257;10;3750000;3000;76;4;3382165;2195560;148
TSPbasedMobility;20;16;24.96359;10;3750000;3000;100;4;2834890;2798460;1403
ZigZagOverNSNMobility;20;8;14.73705;10;3750000;3000;46;4;3473240;3088275;148
KingstonImprovedOverNSNMobility;20;8;14.81485;10;3750000;3000;53;4;3553475;2936310;148
TSPbasedMobility;20;8;13.06149;10;3750000;3000;80;4;3269555;3251775;1098
ZigZagOverNSNMobility;20;4;7.40782;10;3750000;3000;39;4;3611595;3418300;148
KingstonImprovedOverNSNMobility;20;4;7.44819;10;3750000;3000;41;4;3649265;3361420;148
TSPbasedMobility;20;4;6.53704;10;3750000;3000;71;4;3510620;3500005;1098
ZigZagOverNSNMobility;20;2;3.71701;10;3750000;3000;32;4;3681270;3583740;148
KingstonImprovedOverNSNMobility;20;2;4.69222;10;3750000;3000;34;4;3746200;3429135;148
TSPbasedMobility;20;2;3.27045;10;3750000;3000;69;4;3630590;3624435;1098
ZigZagOverNSNMobility;20;16;29.02061;10;3750000;3000;62;4;3171640;2595305;696
KingstonImprovedOverNSNMobility;20;16;29.34794;10;3750000;3000;81;4;3356565;2158750;697
TSPbasedMobility;20;16;26.84602;10;3750000;3000;269;4;2761985;2723160;697
ZigZagOverNSNMobility;20;8;14.68986;10;3750000;3000;48;4;3460650;3143710;697
KingstonImprovedOverNSNMobility;20;8;14.89071;10;3750000;3000;91;4;3530835;2898290;697
TSPbasedMobility;20;8;10.89499;10;3750000;3000;263;4;3349165;3331835;1072
ZigZagOverNSNMobility;20;4;7.42195;10;3750000;3000;41;4;3606995;3424120;697
KingstonImprovedOverNSNMobility;20;4;7.60068;10;3750000;3000;42;4;3662975;3256725;697
TSPbasedMobility;20;4;6.22942;10;3750000;3000;257;4;3521385;3510485;1072
ZigZagOverNSNMobility;20;2;3.71879;10;3750000;3000;32;4;3678955;3581045;697
KingstonImprovedOverNSNMobility;20;2;3.84079;10;3750000;3000;34;4;3690705;3513135;697
TSPbasedMobility;20;2;3.33019;10;3750000;3000;236;4;3628195;3622780;1044
ZigZagOverNSNMobility;20;16;25.44117;10;3750000;3000;60;4;3240285;2690055;342
KingstonImprovedOverNSNMobility;20;16;23.56915;10;3750000;3000;72;4;3435440;2435985;342
TSPbasedMobility;20;16;27.06649;10;3750000;3000;268;4;2749100;2709750;342
ZigZagOverNSNMobility;20;8;12.78353;10;3750000;3000;46;4;3498470;3214405;342
KingstonImprovedOverNSNMobility;20;8;12.19049;10;3750000;3000;52;4;3595275;3128155;342
TSPbasedMobility;20;8;13.77385;10;3750000;3000;242;4;3242970;3221265;399
ZigZagOverNSNMobility;20;4;6.47629;10;3750000;3000;39;4;3624430;3459935;342
KingstonImprovedOverNSNMobility;20;4;6.73188;10;3750000;3000;40;4;3661850;3402915;342
TSPbasedMobility;20;4;6.31121;10;3750000;3000;238;4;3518175;3508555;702
ZigZagOverNSNMobility;20;2;3.25688;10;3750000;3000;34;4;3687500;3603450;342
KingstonImprovedOverNSNMobility;20;2;3.40999;10;3750000;3000;35;4;3705780;3575645;342
TSPbasedMobility;20;2;3.53472;10;3750000;3000;223;4;3620790;3614215;399
ZigZagOverNSNMobility;20;16;33.89635;10;3750000;3000;61;4;3070865;2314960;145
KingstonImprovedOverNSNMobility;20;16;33.02077;10;3750000;3000;76;4;3311320;1958630;144
TSPbasedMobility;20;16;27.40738;10;3750000;3000;73;4;2773465;2196805;1413
ZigZagOverNSNMobility;20;8;17.15289;10;3750000;3000;48;4;3411065;2989125;145
KingstonImprovedOverNSNMobility;20;8;16.56811;10;3750000;3000;56;4;3526350;2855405;145
