[lac2];[Thu Aug 23 19:57:00 -03 2018]; Testes = 811 ; 270% ; Size= 100 ; Map=36.txt 
[lac2];[Thu Aug 23 19:58:04 -03 2018]; Testes = 812 ; 270% ; Size= 100 ; Map=36.txt 
[lac2];[Thu Aug 23 20:10:45 -03 2018]; Testes = 825 ; 275% ; Size= 100 ; Map=38.txt 
[lac2];[Thu Aug 23 20:11:45 -03 2018]; Testes = 826 ; 275% ; Size= 100 ; Map=38.txt 
[lac2];[Thu Aug 23 20:12:40 -03 2018]; Testes = 827 ; 275% ; Size= 100 ; Map=38.txt 
[lac2];[Thu Aug 23 20:26:51 -03 2018]; Testes = 840 ; 280% ; Size= 100 ; Map=40.txt 
[lac2];[Thu Aug 23 20:27:56 -03 2018]; Testes = 841 ; 280% ; Size= 100 ; Map=41.txt 
[lac2];[Thu Aug 23 20:29:06 -03 2018]; Testes = 842 ; 280% ; Size= 100 ; Map=41.txt 
[lac2];[Thu Aug 23 20:43:13 -03 2018]; Testes = 855 ; 285% ; Size= 100 ; Map=43.txt 
[lac2];[Thu Aug 23 20:44:22 -03 2018]; Testes = 856 ; 285% ; Size= 100 ; Map=43.txt 
[lac2];[Thu Aug 23 20:45:27 -03 2018]; Testes = 857 ; 285% ; Size= 100 ; Map=43.txt 
[lac2];[Thu Aug 23 20:59:41 -03 2018]; Testes = 870 ; 290% ; Size= 100 ; Map=45.txt 
[lac2];[Thu Aug 23 21:00:45 -03 2018]; Testes = 871 ; 290% ; Size= 100 ; Map=46.txt 
[lac2];[Thu Aug 23 21:01:58 -03 2018]; Testes = 872 ; 290% ; Size= 100 ; Map=46.txt 
[lac2];[Thu Aug 23 21:16:08 -03 2018]; Testes = 885 ; 295% ; Size= 100 ; Map=48.txt 
[lac2];[Thu Aug 23 21:17:10 -03 2018]; Testes = 886 ; 295% ; Size= 100 ; Map=48.txt 
[lac2];[Thu Aug 23 21:18:08 -03 2018]; Testes = 887 ; 295% ; Size= 100 ; Map=48.txt 
[lac2];[Thu Aug 23 21:30:52 -03 2018]; Testes = 900 ; 300% ; Size= 100 ; Map=50.txt 
[lac2];[Thu Aug 23 21:31:52 -03 2018]; Testes = 901 ; 300% ; Size= 100 ; Map=51.txt 
[lac2];[Thu Aug 23 21:32:58 -03 2018]; Testes = 902 ; 300% ; Size= 100 ; Map=51.txt 
[lac2];[Thu Aug 23 21:45:32 -03 2018]; Testes = 915 ; 305% ; Size= 100 ; Map=53.txt 
[lac2];[Thu Aug 23 21:46:34 -03 2018]; Testes = 916 ; 305% ; Size= 100 ; Map=53.txt 
[lac2];[Thu Aug 23 21:47:33 -03 2018]; Testes = 917 ; 305% ; Size= 100 ; Map=53.txt 
[lac2];[Thu Aug 23 22:00:08 -03 2018]; Testes = 930 ; 310% ; Size= 100 ; Map=55.txt 
[lac2];[Thu Aug 23 22:01:05 -03 2018]; Testes = 931 ; 310% ; Size= 100 ; Map=56.txt 
[lac2];[Thu Aug 23 22:02:07 -03 2018]; Testes = 932 ; 310% ; Size= 100 ; Map=56.txt 
[lac2];[Thu Aug 23 22:14:58 -03 2018]; Testes = 945 ; 315% ; Size= 100 ; Map=58.txt 
[lac2];[Thu Aug 23 22:32:38 -03 2018]; Testes = 946 ; 315% ; Size= 100 ; Map=58.txt 
[lac2];[Thu Aug 23 22:33:36 -03 2018]; Testes = 947 ; 315% ; Size= 100 ; Map=58.txt 
[lac2];[Thu Aug 23 22:46:30 -03 2018]; Testes = 960 ; 320% ; Size= 100 ; Map=60.txt 
[lac2];[Thu Aug 23 22:47:30 -03 2018]; Testes = 961 ; 320% ; Size= 100 ; Map=61.txt 
[lac2];[Thu Aug 23 22:48:39 -03 2018]; Testes = 962 ; 320% ; Size= 100 ; Map=61.txt 
[lac2];[Thu Aug 23 23:01:18 -03 2018]; Testes = 975 ; 325% ; Size= 100 ; Map=63.txt 
[lac2];[Thu Aug 23 23:02:18 -03 2018]; Testes = 976 ; 325% ; Size= 100 ; Map=63.txt 
[lac2];[Thu Aug 23 23:03:15 -03 2018]; Testes = 977 ; 325% ; Size= 100 ; Map=63.txt 
[lac2];[Thu Aug 23 23:15:55 -03 2018]; Testes = 990 ; 330% ; Size= 100 ; Map=65.txt 
[lac2];[Thu Aug 23 23:16:51 -03 2018]; Testes = 991 ; 330% ; Size= 100 ; Map=66.txt 
[lac2];[Thu Aug 23 23:17:54 -03 2018]; Testes = 992 ; 330% ; Size= 100 ; Map=66.txt 
[lac2];[Thu Aug 23 23:30:29 -03 2018]; Testes = 1005 ; 335% ; Size= 100 ; Map=68.txt 
[lac2];[Thu Aug 23 23:31:33 -03 2018]; Testes = 1006 ; 335% ; Size= 100 ; Map=68.txt 
[lac2];[Thu Aug 23 23:32:30 -03 2018]; Testes = 1007 ; 335% ; Size= 100 ; Map=68.txt 
[lac2];[Thu Aug 23 23:45:18 -03 2018]; Testes = 1020 ; 340% ; Size= 100 ; Map=70.txt 
[lac2];[Thu Aug 23 23:46:15 -03 2018]; Testes = 1021 ; 340% ; Size= 100 ; Map=71.txt 
[lac2];[Thu Aug 23 23:47:20 -03 2018]; Testes = 1022 ; 340% ; Size= 100 ; Map=71.txt 
[lac2];[Fri Aug 24 00:00:00 -03 2018]; Testes = 1035 ; 345% ; Size= 100 ; Map=73.txt 
[lac2];[Fri Aug 24 00:00:59 -03 2018]; Testes = 1036 ; 345% ; Size= 100 ; Map=73.txt 
[lac2];[Fri Aug 24 00:01:57 -03 2018]; Testes = 1037 ; 345% ; Size= 100 ; Map=73.txt 
[lac2];[Fri Aug 24 00:14:41 -03 2018]; Testes = 1050 ; 350% ; Size= 100 ; Map=75.txt 
[lac2];[Fri Aug 24 00:15:45 -03 2018]; Testes = 1051 ; 350% ; Size= 100 ; Map=76.txt 
[lac2];[Fri Aug 24 00:16:59 -03 2018]; Testes = 1052 ; 350% ; Size= 100 ; Map=76.txt 
[lac2];[Fri Aug 24 00:29:49 -03 2018]; Testes = 1065 ; 355% ; Size= 100 ; Map=78.txt 
[lac2];[Fri Aug 24 00:30:49 -03 2018]; Testes = 1066 ; 355% ; Size= 100 ; Map=78.txt 
[lac2];[Fri Aug 24 00:31:47 -03 2018]; Testes = 1067 ; 355% ; Size= 100 ; Map=78.txt 
[lac2];[Fri Aug 24 00:44:28 -03 2018]; Testes = 1080 ; 360% ; Size= 100 ; Map=80.txt 
[lac2];[Fri Aug 24 00:45:27 -03 2018]; Testes = 1081 ; 360% ; Size= 100 ; Map=81.txt 
[lac2];[Fri Aug 24 00:46:30 -03 2018]; Testes = 1082 ; 360% ; Size= 100 ; Map=81.txt 
[lac2];[Fri Aug 24 00:59:15 -03 2018]; Testes = 1095 ; 365% ; Size= 100 ; Map=83.txt 
[lac2];[Fri Aug 24 01:00:16 -03 2018]; Testes = 1096 ; 365% ; Size= 100 ; Map=83.txt 
[lac2];[Fri Aug 24 01:01:13 -03 2018]; Testes = 1097 ; 365% ; Size= 100 ; Map=83.txt 
[lac2];[Fri Aug 24 01:13:41 -03 2018]; Testes = 1110 ; 370% ; Size= 100 ; Map=85.txt 
[lac2];[Fri Aug 24 01:14:37 -03 2018]; Testes = 1111 ; 370% ; Size= 100 ; Map=86.txt 
[lac2];[Fri Aug 24 01:15:47 -03 2018]; Testes = 1112 ; 370% ; Size= 100 ; Map=86.txt 
[lac2];[Fri Aug 24 01:28:34 -03 2018]; Testes = 1125 ; 375% ; Size= 100 ; Map=88.txt 
[lac2];[Fri Aug 24 01:29:40 -03 2018]; Testes = 1126 ; 375% ; Size= 100 ; Map=88.txt 
[lac2];[Fri Aug 24 01:30:37 -03 2018]; Testes = 1127 ; 375% ; Size= 100 ; Map=88.txt 
[lac2];[Fri Aug 24 01:43:49 -03 2018]; Testes = 1140 ; 380% ; Size= 100 ; Map=90.txt 
[lac2];[Fri Aug 24 01:44:49 -03 2018]; Testes = 1141 ; 380% ; Size= 100 ; Map=91.txt 
[lac2];[Fri Aug 24 01:45:52 -03 2018]; Testes = 1142 ; 380% ; Size= 100 ; Map=91.txt 
[lac2];[Fri Aug 24 01:58:39 -03 2018]; Testes = 1155 ; 385% ; Size= 100 ; Map=93.txt 
[lac2];[Fri Aug 24 01:59:41 -03 2018]; Testes = 1156 ; 385% ; Size= 100 ; Map=93.txt 
[lac2];[Fri Aug 24 02:00:38 -03 2018]; Testes = 1157 ; 385% ; Size= 100 ; Map=93.txt 
[lac2];[Fri Aug 24 02:13:16 -03 2018]; Testes = 1170 ; 390% ; Size= 100 ; Map=95.txt 
[lac2];[Fri Aug 24 02:14:17 -03 2018]; Testes = 1171 ; 390% ; Size= 100 ; Map=96.txt 
[lac2];[Fri Aug 24 02:15:23 -03 2018]; Testes = 1172 ; 390% ; Size= 100 ; Map=96.txt 
